TimeDomainData,recording,SampleRateInHz
57.1963387652,0,250
53.9818158501,0,250
56.7529562942,0,250
49.9913736107,0,250
55.2011176455,0,250
48.3286893443,0,250
50.1022192285,0,250
43.0080996917,0,250
46.6660050778,0,250
43.4514821627,0,250
48.6612261975,0,250
42.1213347496,0,250
45.668394518,0,250
40.3478048654,0,250
45.5575489002,0,250
37.2441275681,0,250
39.6827311588,0,250
33.5862221819,0,250
37.6875100391,0,250
29.5957799425,0,250
32.0343835332,0,250
24.4968815254,0,250
27.0463307339,0,250
20.0630568149,0,250
22.0582779347,0,250
14.9641583979,0,250
19.2871374906,0,250
14.8533127801,0,250
20.1739024327,0,250
11.8604811005,0,250
12.6364004249,0,250
6.7615826835,0,250
10.9737161584,0,250
5.6531265059,0,250
9.7544143631,0,250
3.6579053861,0,250
7.0941195368,0,250
-1.3301474131,0,250
3.8795966217,0,250
-1.6626842664,0,250
0.7759193243,0,250
-5.2097440348,0,250
-0.443382471,0,250
-5.4314352703,0,250
-1.2193017954,0,250
-9.6435687453,0,250
-8.2025757144,0,250
-14.4099303091,0,250
-9.5327231275,0,250
-14.8533127801,0,250
-11.5279442473,0,250
-14.4099303091,0,250
-6.7615826835,0,250
-11.5279442473,0,250
-7.7591932433,0,250
-15.2966952512,0,250
-8.4242669499,0,250
-15.2966952512,0,250
-12.5255548071,0,250
-16.0726145755,0,250
-12.6364004249,0,250
-16.7376882821,0,250
-11.638789865,0,250
-18.0678356952,0,250
-12.6364004249,0,250
-17.6244532242,0,250
-14.0773934558,0,250
-21.1715129926,0,250
-16.4051514288,0,250
-21.2823586103,0,250
-16.6268426643,0,250
-21.8365866991,0,250
-16.0726145755,0,250
-18.8437550196,0,250
-14.9641583979,0,250
-18.7329094018,0,250
-11.4170986295,0,250
-17.2919163709,0,250
-11.3062530117,0,250
-14.2990846913,0,250
-10.6411793052,0,250
-13.4123197492,0,250
-5.5422808881,0,250
-9.311031892,0,250
-1.9952211197,0,250
-6.983273919,0,250
-1.6626842664,0,250
-5.5422808881,0,250
0.1108456178,0,250
-5.7639721236,0,250
0.443382471,0,250
-4.3229790927,0,250
1.3301474131,0,250
-0.3325368533,0,250
3.7687510039,0,250
-1.6626842664,0,250
5.4314352703,0,250
0.8867649421,0,250
8.2025757144,0,250
4.4338247105,0,250
12.7472460426,0,250
10.9737161584,0,250
16.4051514288,0,250
11.5279442473,0,250
18.7329094018,0,250
16.9593795176,0,250
23.27757973,0,250
19.7305199616,0,250
25.0511096142,0,250
18.4003725485,0,250
27.1571763517,0,250
29.0415518537,0,250
34.029604653,0,250
23.1667341123,0,250
24.6077271432,0,250
16.1834601933,0,250
14.9641583979,0,250
5.0988984171,0,250
5.2097440348,0,250
-7.8700388611,0,250
-8.867649421,0,250
-17.9569900775,0,250
-16.4051514288,0,250
-22.1691235524,0,250
-18.9546006373,0,250
-26.3812570274,0,250
-23.7209622011,0,250
-32.145229151,0,250
-29.2632430892,0,250
-38.3525837457,0,250
-36.357362626,0,250
-40.9020329542,0,250
-36.6898994792,0,250
-44.2274014871,0,250
-41.8996435141,0,250
-51.0998297883,0,250
-47.6636156377,0,250
-52.4299772015,0,250
-48.1069981087,0,250
-55.0902720277,0,250
-52.0974403482,0,250
-58.3047949428,0,250
-59.1915598849,0,250
-68.7242830125,0,250
-67.5049812171,0,250
-73.9340270473,0,250
-66.9507531283,0,250
-70.6086585144,0,250
-62.1843915645,0,250
-64.5121495375,0,250
-58.0831037073,0,250
-58.5264861784,0,250
-51.6540578771,0,250
-56.7529562942,0,250
-50.323910464,0,250
-55.8661913521,0,250
-50.323910464,0,250
